property_type,sector,society,price,area,price_per_sqft,built_up_area,carpet_area,super_built_up_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,sector 69,tulip violet,1.55,1578.0,9822.56,,,1578.0,3,3,2,0.0,West,Relatively New,0,0,0,1,0,2,129,526.0
flat,sector 92,bestech park view sanskruti,1.5,1920.0,7812.5,,,1920.0,3,3,3,3.0,East,Relatively New,0,0,0,0,1,1,49,640.0
flat,sector 103,chintamani,1.57,1845.0,8509.49,1845.0,1350.0,,3,3,3,1.0,North-East,Undefined,0,0,0,0,0,1,0,615.0
house,sector 25,dlf city plots phase 2,4.25,1350.0,31481.48,1350.0,,,3,2,3,2.0,North,Old Property,1,0,0,0,0,1,35,450.0
house,sector 50,independent,10.45,2700.0,38703.7,4000.0,,,4,5,2,3.0,North,Moderately Old,1,1,0,1,0,2,142,675.0
house,sector 26,independent,19.0,4500.0,42222.22,4500.0,,,6,8,3+,3.0,East,Moderately Old,1,1,1,1,0,2,103,750.0
house,sector 21,independent,0.45,535.0,8411.21,,535.0,,3,2,1,1.0,,Undefined,0,0,0,0,0,1,0,178.33333333333334
flat,sector 77,umang winter hills,1.1,2077.0,5296.1,,1600.0,2077.0,3,4,3+,9.0,North,Relatively New,0,1,0,0,0,1,49,692.3333333333334
flat,sector 61,pioneer park,2.04,1395.0,14623.66,1595.0,1395.0,1795.0,3,3,3+,16.0,South,Moderately Old,0,1,0,0,0,2,165,465.0
flat,sector 83,emaar palm gardens,1.8,1900.0,9473.68,,,1900.0,3,3,3+,9.0,South,Relatively New,0,0,0,0,0,1,55,633.3333333333334
flat,sector 108,experion the heartsong,1.02,1283.0,7950.12,1283.0,734.43,,2,3,3,4.0,,Relatively New,1,0,0,0,0,1,112,641.5
house,sector 105,independent,1.35,3500.0,3857.14,3500.0,2500.0,,5,3,3,3.0,East,Undefined,0,0,0,0,0,1,0,700.0
flat,sector 85,ss the leaf,1.25,1148.0,10888.5,,1148.0,1741.0,2,2,3+,17.0,East,Relatively New,0,0,1,0,0,1,156,574.0
flat,sector 86,microtek greenburg,1.23,1480.0,8310.81,,,1480.0,2,2,3,13.0,South,Relatively New,1,0,0,0,0,1,6,740.0
house,sector 28,dlf city plots phase 4,9.54,3240.0,29444.44,3240.0,,,6,5,3+,3.0,North,New Property,1,1,1,1,0,1,153,540.0
flat,sector 37d,signature global the millennia,0.6,650.0,9230.77,,596.12,650.0,2,2,3,7.0,,New Property,0,0,0,0,0,1,35,325.0
flat,sector 90,shree vardhman flora,0.65,1350.0,4814.81,,,1350.0,2,2,3,6.0,East,Relatively New,1,0,0,0,0,1,165,675.0
house,sector 4,independent,0.92,603.0,15257.05,603.0,,,1,4,3,4.0,East,Moderately Old,0,0,0,0,1,1,0,603.0
flat,sector 107,signature global solera,0.36,602.0,5980.07,598.0,546.0,602.0,2,2,1,7.0,North-West,Relatively New,0,0,0,0,1,1,49,301.0
flat,sector 86,pyramid urban homes 2,0.42,495.0,8484.85,,501.0,,2,2,1,2.0,North-East,New Property,1,1,0,1,1,1,84,247.5
house,sector 73,dlf alameda,17.0,4842.0,35109.46,9000.0,,,5,8,3,3.0,North-West,Relatively New,1,1,1,1,0,0,87,968.4
flat,sector 55,sidhivinayak apartments,1.9,1800.0,10555.56,,1800.0,,4,3,3+,9.0,North,Moderately Old,0,0,0,1,0,0,35,450.0
flat,sector 65,emaar mgf emerald floors premier,2.55,1650.0,15454.55,,1300.0,1650.0,3,3,3,3.0,West,Relatively New,1,1,0,0,0,1,21,550.0
flat,sector 82,vatika the seven lamps,0.94,1439.0,6532.31,,,1435.0,2,2,3+,9.0,North,Relatively New,1,0,0,0,0,2,117,719.5
flat,sector 70a,bptp astaire gardens,1.2,1700.0,7058.82,1450.0,,1700.0,3,3,3+,2.0,,Relatively New,0,0,0,0,0,0,38,566.6666666666666
flat,sector 81,signature global synera,0.49,735.0,6666.67,700.0,635.0,735.0,2,2,3,5.0,South,Relatively New,0,0,0,0,0,1,117,367.5
flat,sector 102,shapoorji pallonji joyville gurugram,0.95,915.0,10382.51,915.0,675.0,,2,2,2,14.0,,Undefined,0,0,0,0,0,1,0,457.5
flat,sector 102,emaar gurgaon greens,1.49,1650.0,9030.3,,1022.58,1650.0,3,3,3,10.0,North-East,Relatively New,0,0,0,0,0,2,159,550.0
flat,sector 82a,dlf the primus,2.25,2100.0,10714.29,,2100.0,,3,3,3+,29.0,East,Relatively New,0,1,0,0,0,0,72,700.0
flat,sector 95,awho shanti vihar,0.82,830.0,9879.52,,830.0,1400.0,2,2,3+,13.0,East,New Property,1,0,0,0,0,1,114,415.0
flat,sector 108,experion the heartsong,2.08,2100.0,9904.76,2631.0,2100.0,,4,4,3+,3.0,East,Relatively New,0,1,0,0,0,1,126,525.0
flat,sector 92,signature global city 92,0.78,700.0,11142.86,,700.0,1010.0,2,2,3,2.0,,Under Construction,0,0,0,0,1,1,24,350.0
flat,sector 107,signature global solera,0.25,318.0,7861.64,318.0,,,1,1,0,0.0,,Undefined,0,0,0,0,0,1,55,318.0
flat,sector 112,experion windchants,3.75,2802.0,13383.3,2225.56,,2802.0,3,3,2,21.0,West,Relatively New,0,1,0,0,0,2,159,934.0
flat,sector 104,godrej summit,0.85,1446.0,5878.28,1269.0,777.0,1446.0,2,2,3+,10.0,East,Relatively New,1,0,0,0,0,1,79,723.0
flat,sector 51,citizen apartment,3.55,5201.0,6825.61,5200.0,4700.0,,5,6,3+,11.0,North,Moderately Old,1,1,1,1,0,2,157,1040.2
flat,sector 76,whiteland  the aspen,3.5,2937.0,11916.92,2937.0,1762.0,,3,4,3,8.0,,Undefined,0,0,0,0,0,1,0,979.0
flat,sector 70a,aipl zen residences,1.82,1655.0,10996.98,1600.0,1550.0,1655.0,3,3,3,12.0,South,Relatively New,0,0,0,0,0,1,108,551.6666666666666
house,sector 53,independent,4.0,2250.0,17777.78,2250.0,,,5,5,2,3.0,,Relatively New,1,0,0,0,0,1,23,450.0
flat,sector 77,umang winter hills,0.99,1260.0,7857.14,,1000.0,1260.0,2,2,2,1.0,North,Relatively New,0,0,0,0,0,1,97,630.0
house,sector 9,independent,3.2,2367.0,13519.22,2367.0,,,3,3,2,1.0,East,Old Property,0,0,0,0,0,2,36,789.0
house,sector 7,independent,1.75,1575.0,11111.11,1575.0,,,4,2,2,2.0,,Old Property,0,0,0,0,1,1,31,393.75
house,sector 26,dlf city phase 1,4.5,1350.0,33333.33,1350.0,,,3,3,2,2.0,East,Moderately Old,1,1,0,0,0,1,70,450.0
flat,sector 37d,ramprastha the edge towers,0.8,1380.0,5797.1,1300.0,1200.0,1380.0,2,2,3,2.0,North-East,Relatively New,0,0,0,0,0,1,78,690.0
flat,sector 67a,ireo the corridors,1.8,1921.0,9370.12,,1227.96,1921.0,3,3,2,3.0,North,New Property,1,0,1,0,0,2,150,640.3333333333334
flat,sector 102,shapoorji pallonji joyville gurugram,1.35,1359.0,9933.77,,,1359.0,2,2,2,9.0,North-East,Relatively New,0,0,0,0,0,1,100,679.5
flat,sector 2,bestech park view residency,1.55,1920.0,8072.92,,,1920.0,3,4,3+,10.0,East,Moderately Old,0,1,0,0,0,1,100,640.0
flat,sector 65,m3m skycity,2.8,1828.0,15317.29,1828.0,,,3,3,0,14.0,,Undefined,0,0,0,0,0,1,39,609.3333333333334
flat,sector 85,ss the leaf,1.14,1640.0,6951.22,,,1640.0,2,2,3,4.0,South,Relatively New,0,0,0,0,0,1,109,820.0
house,sector 92,signature global city 92,0.75,959.0,7820.65,959.0,,,2,2,3,1.0,,Undefined,0,0,0,0,0,1,46,479.5
flat,sector 91,tarc maceo,1.4,1890.0,7407.41,1700.0,1600.0,1890.0,3,3,3+,7.0,North,Relatively New,0,0,0,0,0,1,76,630.0
flat,sohna road,breez global heights,0.4,623.0,6420.55,,599.0,623.0,2,2,1,4.0,North-East,New Property,0,0,0,0,0,1,49,311.5
flat,sector 82a,dlf the primus,1.59,1538.0,10338.1,,1538.0,1799.0,3,3,3+,5.0,North-East,Relatively New,0,0,0,0,1,0,167,512.6666666666666
flat,sector 85,orris carnation residency,0.88,1478.0,5953.99,,,1485.0,3,3,1,1.0,South,Relatively New,0,0,0,0,0,1,65,492.6666666666667
flat,sohna road,mvn athens,0.25,482.0,5186.72,,481.684525,,2,2,1,0.0,North,Relatively New,0,0,0,1,0,1,90,241.0
flat,sector 70a,capital residences 360,1.64,1976.0,8299.6,1950.0,1642.0,1976.0,3,3,3+,4.0,North-East,New Property,0,1,0,0,0,1,144,658.6666666666666
flat,sector 36a,krisumi waterfall residences,2.3,1479.0,15551.05,1479.0,,,2,2,2,23.0,,Undefined,0,0,0,0,0,1,58,739.5
flat,sector 56,shri banke bihari society,1.35,1400.0,9642.86,1450.0,1400.0,1500.0,3,3,3+,4.0,,Old Property,0,0,0,0,1,2,174,466.6666666666667
flat,sector 59,conscient elevate,3.78,2291.0,16499.35,,2295.0,,3,3,3,3.0,,Under Construction,0,0,0,0,0,1,31,763.6666666666666
house,sector 48,vipul tatvam villa,8.5,4000.0,21250.0,4000.0,,,4,5,3+,2.0,North,Moderately Old,1,1,0,1,1,2,49,1000.0
flat,sector 51,the arzoo cghs,2.1,2300.0,9130.43,2300.0,,,4,4,3,1.0,,Relatively New,0,0,0,0,0,1,58,575.0
flat,sector 82a,dlf the primus,3.5,2606.0,13430.54,,2606.0,,5,5,3+,14.0,North-East,Relatively New,1,0,0,0,0,0,49,521.2
flat,sector 65,m3m heights,2.5,1838.0,13601.74,,,1828.0,3,3,3,19.0,,Under Construction,0,0,0,0,0,1,48,612.6666666666666
flat,sector 54,dlf park place,4.86,1875.0,25920.0,,,1875.0,3,4,3+,7.0,West,Relatively New,0,1,0,0,0,2,49,625.0
flat,sector 90,dlf new town heights,1.3,1930.0,6735.75,1929.0,1928.0,1930.0,3,3,3+,10.0,South,Relatively New,0,1,0,1,0,2,129,643.3333333333334
flat,sector 85,godrej air,1.8,1370.0,13138.69,,127.3,,3,3,3,30.0,,Under Construction,0,0,0,0,0,1,45,456.6666666666667
flat,sector 68,m3m the marina,1.32,1507.0,8759.12,,,1507.0,2,2,3,15.0,North-East,Relatively New,1,0,0,0,0,1,120,753.5
flat,sector 90,shree vardhman flora,0.65,1350.0,4814.81,,,1350.0,2,2,3,10.0,North,Moderately Old,1,0,0,0,0,2,83,675.0
flat,sector 70a,aipl zen residences,1.34,1304.0,10276.07,,,1304.0,2,2,3+,17.0,East,New Property,0,0,0,0,0,2,110,652.0
flat,sector 83,vatika lifestyle homes,1.05,1400.0,7500.0,1600.0,1400.0,1755.0,3,2,2,1.0,South-West,Moderately Old,0,0,0,0,0,2,106,466.6666666666667
flat,sector 65,emaar mgf emerald floors premier,2.9,1975.0,14683.54,,1975.0,,4,4,0,0.0,North,Relatively New,0,0,1,0,0,1,50,493.75
flat,sector 69,tulip violet,1.19,1350.0,8814.81,,1350.0,,2,3,1,0.0,West,Relatively New,1,0,0,0,0,1,174,675.0
house,sector 31,independent,3.5,1449.0,24154.59,1449.0,,,4,3,3,2.0,South-West,Moderately Old,0,0,1,0,0,2,81,362.25
flat,sector 113,la vida by tata housing,2.7,1650.0,16363.64,2217.0,1650.0,,3,4,3+,4.0,North-West,Relatively New,0,1,0,0,0,2,49,550.0
house,sector 109,international city by sobha phase 2,9.4,3600.0,26111.11,3600.0,,,5,6,3+,2.0,North-East,Relatively New,1,1,1,1,0,2,147,720.0
flat,sector 37c,piedmont taksila heights,0.9,1537.0,5855.56,1537.0,,,3,3,3,9.0,South-West,Moderately Old,0,0,0,0,0,2,94,512.3333333333334
flat,sohna road,silverglades the melia,0.78,1350.0,5777.78,,,1350.0,2,2,3,9.0,,Under Construction,1,0,0,0,0,1,72,675.0
flat,sector 107,m3m woodshire,1.3,1202.0,10815.31,,1202.0,1943.0,3,3,3,7.0,,Relatively New,0,0,0,1,0,1,89,400.6666666666667
house,sector 4,independent,0.65,585.0,11111.11,585.0,,,4,2,2,,,Moderately Old,0,0,0,0,0,1,0,146.25
flat,sector 107,m3m woodshire,0.8,1366.0,5856.52,,1055.0,1366.0,2,2,3+,6.0,West,Relatively New,0,0,0,1,0,2,174,683.0
flat,sector 92,signature global city 92,0.99,1091.0,9074.24,1091.0,,,3,2,3,1.0,,Under Construction,0,0,0,0,0,1,24,363.6666666666667
flat,sohna road,breez global heights,0.4,598.0,6688.96,,597.53,950.0,2,2,2,7.0,,Relatively New,0,0,0,0,0,1,57,299.0
house,sector 26,arjun marg/ sector- 26 phase- 1/ golf course road,31.5,9000.0,35000.0,9000.0,,,7,9,3+,3.0,North-East,Moderately Old,1,1,1,1,0,0,74,1285.7142857142858
flat,sector 107,signature global solera,0.49,596.0,8221.48,598.0,,602.0,2,2,1,8.0,South-West,Relatively New,0,0,0,0,1,0,49,298.0
flat,sector 109,ats tourmaline,2.95,3150.0,9365.08,,,3150.0,4,5,3+,10.0,North-East,Relatively New,0,1,0,0,0,1,101,787.5
flat,sector 86,ansal heights 86,0.74,1360.0,5441.18,,,1360.0,2,2,1,11.0,,Under Construction,0,0,0,0,1,1,45,680.0
house,sector 49,independent,4.45,2880.0,15451.39,2880.0,,,6,6,3,3.0,North,Moderately Old,1,1,1,1,0,0,152,480.0
flat,sector 104,puri emerald bay,1.32,1550.0,8516.13,,,1550.0,2,2,2,10.0,North-East,Relatively New,0,0,0,0,0,1,128,775.0
flat,sector 69,unitech sunbreeze,0.74,1345.0,5501.86,,,1337.0,3,3,1,10.0,,Under Construction,0,1,0,0,0,1,60,448.3333333333333
house,sector 25,dlf city plots phase 2,4.5,1350.0,33333.33,1350.0,,,5,3,2,3.0,,Old Property,0,0,1,1,0,1,25,270.0
house,sector 109,international city by sobha phase 2,6.2,2430.0,25514.4,2430.0,,,5,5,2,2.0,South-West,Relatively New,0,1,0,0,0,1,135,486.0
flat,sector 108,experion the heartsong,1.25,1350.0,9259.26,1500.0,1350.0,1758.0,3,3,3,1.0,South-East,Relatively New,0,1,0,1,0,1,174,450.0
flat,sector 33,central park flower valley,1.55,1300.0,11923.08,,1300.0,,3,3,3+,7.0,North-East,New Property,0,0,0,0,0,2,28,433.3333333333333
flat,sector 58,ireo the grand arch,2.2,1375.0,16000.0,,1375.0,,2,2,1,5.0,East,Relatively New,0,0,0,1,0,2,49,687.5
house,sector 11,independent,4.0,2025.0,19753.09,225.0,180.0,,5,4,1,2.0,North-East,Undefined,0,0,0,0,0,1,0,405.0
flat,sector 28,maruti vihar,1.0,1100.0,9090.91,,,1100.0,1,1,1,1.0,North,Old Property,1,0,0,1,0,2,80,1100.0
flat,sector 37c,corona optus,1.4,1990.0,7035.18,1890.0,1790.0,1990.0,3,3,3+,4.0,South,Relatively New,0,1,0,0,0,1,149,663.3333333333334
flat,sector 103,satya the hermitage,0.93,1452.0,6404.96,,1452.0,,2,3,3,3.0,East,Relatively New,0,1,0,0,0,2,90,726.0
flat,sector 85,ss the leaf,1.17,1741.0,6720.28,1550.0,1350.0,1741.0,2,3,3,10.0,South-East,Relatively New,0,0,0,0,1,1,49,870.5
flat,sector 109,conscient one,1.7,965.0,17616.58,965.0,628.0,,1,1,2,9.0,,Undefined,0,0,0,0,0,1,0,965.0
flat,sector 22,ambience creacions,1.65,1380.0,11956.52,1200.0,1000.0,1380.0,2,2,2,9.0,East,Relatively New,0,0,0,1,1,0,133,690.0
house,sector 28,housing board colony,2.1,900.0,23333.33,900.0,,,2,8,3+,4.0,South-East,Moderately Old,0,0,0,0,1,2,38,450.0
flat,sector 102,emaar imperial gardens,2.05,2076.0,9874.76,,2025.0,,3,4,3+,14.0,South,Relatively New,0,1,0,0,0,1,116,692.0
flat,sector 85,orris aster court,0.9,1587.0,5671.08,,,1587.0,3,3,3,8.0,North-East,Relatively New,0,0,0,0,0,1,49,529.0
flat,sector 106,paras dews,1.15,1760.0,6534.09,1186.0,1130.0,1760.0,3,4,3+,12.0,East,Relatively New,1,1,0,0,0,2,174,586.6666666666666
flat,sector 103,signature global grand iva,0.3,362.0,8287.29,,361.88231799999994,,1,2,2,5.0,,New Property,0,0,0,0,0,1,37,362.0
flat,sector 4,housing apna enclave,0.39,950.0,4105.26,950.0,750.0,,2,2,1,1.0,North-East,Undefined,0,0,0,0,0,1,0,475.0
flat,sector 102,emaar gurgaon greens,1.5,1650.0,9090.91,,1022.58,1650.0,3,3,3,7.0,West,Relatively New,0,0,0,1,0,2,174,550.0
flat,sector 71,signature andour heights,0.6,600.0,10000.0,,514.0,600.0,2,2,1,5.0,South-West,Relatively New,0,0,0,1,0,1,59,300.0
flat,sector 109,chintels paradiso,1.8,2030.0,8867.0,,1785.0,2030.0,3,3,2,0.0,East,Moderately Old,0,1,0,0,0,1,83,676.6666666666666
flat,sector 2,bestech park view residency,0.98,1414.0,6930.69,,,1415.0,2,2,3,11.0,East,Moderately Old,0,0,0,0,0,1,83,707.0
flat,sector 92,raheja navodaya,0.85,1572.0,5407.12,,,1572.0,3,3,0,0.0,East,Relatively New,0,0,0,0,0,1,88,524.0
flat,sector 92,sare green parc phase 3,1.1,1600.0,6875.0,,1600.0,,4,3,2,12.0,North,New Property,0,0,0,0,0,1,15,400.0
flat,sector 65,emaar mgf emerald floors premier,2.8,1650.0,16969.7,,1650.0,,3,3,3+,3.0,,Relatively New,1,1,0,0,0,2,38,550.0
flat,sector 104,godrej summit,1.16,1816.0,6387.67,,1816.0,,3,4,3+,8.0,East,Relatively New,0,1,0,0,0,2,96,605.3333333333334
flat,sector 79,m3m golf hills,1.45,1420.0,10211.27,,1420.0,,2,2,3,15.0,,Under Construction,0,0,0,0,0,1,67,710.0
house,sector 4,huda ashok vihar phase,0.7,684.0,10233.92,684.0,,,3,2,1,2.0,North-East,New Property,1,0,0,0,0,1,7,228.0
flat,sector 102,shapoorji pallonji joyville gurugram,2.15,1692.0,12706.86,1690.0,1592.0,1692.0,3,3,3,10.0,South-West,Relatively New,0,0,0,0,0,2,49,564.0
house,sector 25,dlf city plots phase 2,10.75,3600.0,29861.11,3600.0,,,9,9,3+,3.0,South-West,Old Property,0,1,1,1,0,1,73,400.0
flat,sector 37c,ild greens,1.0,2315.0,4319.65,,,1875.0,3,3,3+,5.0,North,Under Construction,0,0,0,0,0,1,51,771.6666666666666
flat,sector 56,guru gram haryana cghs,1.38,1910.0,7225.13,1910.0,,,3,3,3,5.0,North,Moderately Old,1,0,0,0,0,2,134,636.6666666666666
house,sector 33,unitech uniworld resorts,8.0,7000.0,11428.57,7000.0,,,4,4,3+,2.0,West,Old Property,1,1,1,1,0,1,77,1750.0
house,sector 50,ss hibiscus,12.25,5850.0,20940.17,5850.0,,,5,7,3+,1.0,South-East,Relatively New,1,1,0,1,1,2,160,1170.0
house,sector 9a,independent,4.5,3150.0,14285.71,14.0,,,9,9,3+,3.0,,Relatively New,1,0,0,1,1,2,38,350.0
flat,sector 78,umang monsoon breeze,1.15,2176.0,5284.93,,,2176.0,3,3,3,9.0,,Moderately Old,0,1,0,0,1,1,22,725.3333333333334
flat,sector 3,apna enclave,0.5,650.0,7692.31,,650.0,,2,2,1,1.0,West,Old Property,0,0,0,0,0,2,37,325.0
flat,sector 48,kibithu villas,3.45,2700.0,12777.78,,2700.0,,4,4,3+,2.0,,Undefined,0,0,0,0,0,1,0,675.0
flat,sector 81,bestech park view grand spa,2.29,2660.0,8609.02,,2000.0,2660.0,3,4,3+,10.0,North-East,Relatively New,1,1,0,0,0,0,174,886.6666666666666
house,sector 1,independent,4.75,4500.0,10555.56,4500.0,,,6,7,0,4.0,,Undefined,0,0,0,0,0,1,0,750.0
house,sector 72,tata primanti,8.5,6300.0,13492.06,6300.0,,,5,6,3+,10.0,East,Relatively New,1,1,1,1,0,2,145,1260.0
flat,sector 9a,the khushboo cooperative housing society ltd,0.88,1800.0,4888.89,,1123.0,1800.0,3,3,2,2.0,North-West,Old Property,0,0,0,0,0,2,31,600.0
house,sector 24,independent,6.5,2844.0,22855.13,2844.0,,,4,4,2,2.0,,Old Property,0,0,0,1,0,1,35,711.0
flat,sector 88a,godrej oasis,2.65,1582.0,16750.95,,124.0,,3,3,3+,10.0,,New Property,0,0,0,0,0,1,110,527.3333333333334
